Search LSTM,Search GRU,Align LSTM,Align GRU,Insert LSTM,Insert GRU
105.4993668,116.0884476,121.9002304,119.2878876,135.4086151,143.6687317
97.4208832,113.9329834,120.3949127,121.685051,137.1813812,144.4919128
98.454895,111.7449112,115.3428345,110.9519348,139.4855957,141.6133728
121.2858124,115.4202728,120.164093,124.1110229,141.8836975,146.1089935
127.5595093,121.9856491,118.8014832,123.680954,136.4807281,135.7198334
108.6562729,120.275177,122.4738159,125.6127014,125.7062073,144.5722198
119.3415375,87.79478455,123.1758347,125.5771179,142.9832458,133.8361969
109.2289581,108.2906494,104.0677948,117.3939896,140.6330872,137.1257172
109.4784012,112.795166,120.8715591,120.2666092,127.0964813,141.8466644
112.3696136,114.2115784,124.0503082,120.7800598,134.4165497,142.973877
112.7687988,114.735199,115.5396805,119.2165833,134.3654785,139.8099365
109.6364059,125.5318604,123.9565811,129.7939148,142.0108032,143.7179108
105.203125,124.5904541,107.3295898,126.4858932,134.7299194,140.1353302
117.3589935,124.715126,112.1870422,126.9181747,140.0280762,141.1950836
117.85466,102.6300201,119.2803268,127.9955826,129.1602936,140.3359833
117.410553,123.0895767,105.1737137,128.9373627,136.6218414,144.017334
114.8730164,127.6411591,111.1841965,123.2710266,142.424057,134.073288
99.3747787,112.5817947,106.7310715,115.1832962,141.9499207,146.8916016
117.3492279,118.2329407,115.8267288,121.4340439,139.7772827,141.6969452
112.2386932,123.3235931,112.8974152,123.9328384,137.117691,144.5334778
112.3634033,126.8763733,119.7707672,119.5237427,136.7765808,139.4087524
-53.99346542,118.4984512,114.7348022,119.9537277,135.1686554,133.5111694
112.8512115,123.6906967,-60.52099609,112.2358627,132.183197,145.3529358
107.6212692,129.3265076,120.0593567,117.8070602,132.7440033,145.8411865
104.1194305,123.8133163,124.6805725,119.0705795,136.1012878,134.5621185
109.5963058,117.7824326,121.9622955,122.7904282,138.2424316,146.2500763
123.848938,125.2022705,117.7240524,123.4862823,134.5770264,146.1111603
118.2291565,110.9094467,118.9583206,124.698143,135.177536,141.8497314
106.3113632,-47.33997726,122.4405365,122.2596893,138.0116425,144.298172
98.0356598,126.8400879,119.6118317,116.7273102,138.8998108,130.7865143
115.8578644,111.7716293,119.6724777,127.3850174,132.8111115,145.0159912
101.9398117,116.5926666,117.2145309,124.733078,141.8076782,145.4350281
99.2615891,100.315239,114.5111465,128.9800873,137.5225067,138.8253784
103.4267044,123.1320648,111.2899017,122.8219833,128.2996674,143.6737061
109.7775955,119.4639053,116.9786377,128.9659576,136.360672,139.3480682
84.83840179,126.6960297,118.3803406,120.5217209,137.2268219,136.7313385
101.9344711,120.5361786,104.933136,121.5676422,137.4880066,142.8670654
111.5059662,128.2702637,116.5240326,125.9815292,137.903595,135.7506104
117.5848236,129.0944672,118.0731354,124.0609894,130.4768066,134.69133
92.41602325,114.4134979,117.7837677,127.0046997,134.792038,141.460556
104.7241745,124.6027985,117.4940491,121.826622,129.7586517,139.4858704
122.3258209,116.3400345,117.4566345,120.7588425,135.5677032,143.2690582
119.8585052,119.8135757,123.2862549,120.2893066,141.7841644,133.8801422
115.1595154,126.0804825,124.1785431,124.4573822,139.0814819,139.2031097
115.2463837,121.5590363,105.7302475,117.8172379,138.1703644,142.9841919
117.8729858,129.990799,122.1410751,124.3595428,138.0309906,132.7403717
112.3489838,119.877037,124.0414658,124.8612823,129.135849,146.8959045
105.2510529,104.0902405,117.6118546,121.3525696,135.0881348,141.6056213
121.8388977,127.95047,116.5542984,115.6856689,138.0399628,135.7401581
113.7446289,115.8441696,116.906044,122.0242996,138.23172,138.1980286
86.50309753,106.4522629,105.111824,123.6235809,137.8679199,140.5705261
89.04614258,127.6965866,122.2462006,123.8895798,136.2396545,138.9602051
115.3287048,128.9586945,119.4537277,117.9469681,137.8314056,138.3547058
97.5745392,114.7031403,122.6267395,115.0347748,135.1589813,132.5270691
122.9536591,115.9790726,123.1321716,113.5898361,134.0690308,144.8023529
87.99991608,120.0047073,120.6722107,123.3254852,134.9039612,143.1360779
121.5346375,116.454834,121.5428391,123.8184738,133.329895,138.2910919
118.0149384,129.7196045,117.8625183,123.2629013,131.6464386,146.1008759
116.8556824,119.115448,118.6271057,127.6606369,138.3122253,145.8542023
114.8598785,111.1278,120.803421,127.8705673,138.1348267,141.3688507
114.3535309,120.9378128,118.4529037,117.8083496,143.2664337,144.3067474
100.2250443,123.5647049,117.2417297,122.97258,139.038681,142.1595306
119.1385956,105.7368393,114.2701721,119.4666367,129.2205353,144.8367767
