six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz,,
-0.716000021,0.389999986,-2.260999918,-1.215499997,-1.789000034,0.106399998,-0.239700004,0.496199995,-5.317800045,-1.13409996,0.0084,0.065800004,,0.065800004
-0.446999997,0.294800013,-1.949800014,-1.214100003,-1.333600044,0.0447,-0.187399998,0.575699985,-4.361100197,-1.026299953,-0.103799999,0.061900001,,0.061900001
-0.097000003,-0.162100002,-0.732500017,-0.0014,-0.354699999,0.073700003,-0.0372,0.0359,-0.166099995,0,-0.123800002,-0.0037,,0.0037
-0.032499999,-0.190300003,0.682500005,0.057100002,0.0164,0.0305,0.0605,-0.165000007,0.177699998,0.081299998,0.0188,0.0012,,0.0012
-0.0076,-0.201399997,-2.151200056,0.272300005,-0.133000001,0.221100003,0.0286,-0.118199997,-0.110399999,0.290499985,-0.211500004,-0.036800001,,0.036800001
0.438899994,-0.245800003,-1.594599962,0.546500027,1.046700001,0.032099999,-0.614400029,-0.487500012,-0.158899993,0.840799987,-0.905399978,-0.029300001,,0.029300001
0.492500007,-0.465799987,0.694700003,0.968999982,1.249899983,0.076899998,0.104099996,0.331499994,-2.137000084,-0.576799989,0.324400008,0.025,,0.025
0.569100022,-0.802600026,0.37349999,1.440000057,1.26789999,0.068300001,-0.0053,0.338999987,-4.262300014,-0.996500015,0.465700001,0.047400001,,0.047400001
-0.178399995,0.503799975,-0.093699999,-0.970200002,-0.829900026,0.0274,-0.132499993,-0.1998,0.128900006,0.297500014,-0.177599996,-0.0108,,0.0108
-0.225600004,0.547100008,-1.442199945,-1.401200056,-0.808099985,0.041099999,-0.0035,-0.0933,-0.199000001,0.264999986,-0.104099996,-0.0126,,0.0126
-0.484400004,0.670899987,-0.037500001,-1.233899951,-1.088999987,0.0495,-0.153300002,-0.299100012,-0.491400003,0.697000027,-0.520399988,-0.052499998,,0.052499998
-0.215599999,0.47209999,-0.045400001,-1.194800019,-0.514800012,0.0098,-0.217099994,-0.501900017,-0.360900015,1.338700056,-0.68720001,-0.084100001,,0.084100001
-0.408800006,0.610700011,-2.048000097,-1.965899944,-1.045400023,0.093999997,0.0009,-0.172800004,0.166999996,0.30430001,-0.111900002,-0.0086,,0.0086
-0.166999996,0.510500014,-0.477699995,-1.424100041,-0.567499995,0.051199999,-0.038899999,-0.069300003,-0.074199997,0.412099987,-0.138400003,-0.019300001,,0.019300001
-0.288399994,0.772199988,-2.292700052,-2.045599937,-0.741299987,0.088699996,-0.221900001,0.632300019,-4.008100033,-0.746699989,1.00E-04,0.040399998,,0.040399998
-0.37560001,0.311199993,-2.672399998,-1.831500053,-0.721099973,0.110100001,-0.337099999,-0.111500002,-8.323900223,0.752499998,0.0065,-0.039999999,,0.039999999
-0.205400005,0.117799997,-3.057300091,-1.248700023,-0.506399989,0.055300001,-0.559800029,0.53670001,-7.95690012,-0.660099983,-0.552999973,0.034600001,,0.034600001
-0.053399999,-0.082199998,-1.505800009,-0.156200007,-0.313800007,0.087800004,-0.071800001,0.52579999,-0.984200001,-1.608700037,-0.163699999,0.078500003,,0.078500003
0.085900001,-0.136199996,0.27700001,0.078400001,0.0414,0.054900002,-0.013,0.170000002,-0.115500003,-0.565400004,-0.044500001,0.024800001,,0.024800001
-0.072499998,-0.326299995,-3.23210001,0.465499997,-0.056200001,0.360500008,0.101300001,0.450199991,-0.344500005,-0.79400003,0.0028,0.0306,,0.0306
0.527700007,-0.078299999,-2.590600014,0.482899994,0.930700004,0.095799997,0.025,0.563799977,-2.143199921,-1.212900043,-0.306199998,0.064900003,,0.064900003
0.567099988,-0.422300011,0.906599998,1.24150002,1.304200053,0.114399999,-0.215000004,0.942900002,-2.079200029,-2.15440011,-0.753000021,0.145699993,,0.145699993
0.35589999,-0.721800029,0.814599991,1.433699965,1.159700036,0.0546,-0.0704,1.195299983,-3.235300064,-2.719899893,-0.558700025,0.225400001,,0.225400001
-0.291099995,0.605400026,0.764500022,-1.684900045,-1.012799978,0.047200002,0.056600001,1.109500051,-1.331400037,-2.584000111,0.018100001,0.1197,,0.1197
-0.45449999,0.619300008,-0.744799972,-2.127899885,-1.479099989,0.069700003,-0.094999999,1.169399977,-1.062600017,-2.799400091,-0.073700003,0.116700001,,0.116700001
-0.252799988,0.75819999,-0.58069998,-2.478399992,-1.521999955,0.114,0.078100003,1.743199944,-0.885399997,-2.659600019,-0.425500005,0.133699998,,0.133699998
-0.452100009,0.879400015,-2.175100088,-2.913100004,-1.091099977,0.1831,-0.048099998,1.473700047,-0.655399978,-3.755000114,0.129700005,0.125799999,,0.125799999
-0.291299999,0.817099988,-2.74180007,-2.353300095,-1.112300038,0.128099993,-0.315299988,1.124600053,-0.078199998,-3.173300028,-0.321399987,0.098300003,,0.098300003
-0.400299996,0.359299988,-2.765599966,-1.439900041,-1.040699959,0.045600001,-0.255100012,1.651299953,0.091200002,-3.273799896,-0.316100001,0.165900007,,0.165900007
-0.152999997,0.101000004,-1.698400021,-0.580200016,-0.349299997,0.0298,-0.037300002,1.556200027,-0.765200019,-3.356800079,-0.277200013,0.100400001,,0.100400001
-0.022299999,-0.30309999,-1.096400023,0.601800025,-0.158099994,0.094700001,0.275999993,1.163599968,-0.173899993,-2.834599972,0.220300004,0.110699996,,0.110699996
0.072800003,-0.405299991,0.555199981,0.736100018,-0.139200002,0.078400001,-0.755200028,0.446399987,-0.233400002,-0.700200021,-1.102300048,-0.022299999,,0.022299999
-0.058899999,-0.485799998,0.0033,0.876399994,-0.237900004,0.074699998,0.027899999,0.164100006,-0.140400007,-0.200200006,0.034200002,0.031399999,,0.031399999
0.229800001,-0.349099994,0.177000001,0.790000021,0.557200015,0.0359,-0.127299994,0.403100014,-1.473999977,-0.787500024,-0.235200003,0.043499999,,0.043499999
0.518599987,-0.2764,-4.915800095,0.690800011,0.900399983,0.223499998,0.092600003,0.071999997,0.068000004,-0.059700001,0.0416,0.017000001,,0.017000001
0.185900003,-0.387400001,1.250200033,0.440800011,0.152700007,0.0127,0.0121,-0.192599997,-0.372799993,0.195899993,0.0273,0.0242,,0.0242
0.233500004,-0.235100001,-0.722500026,0.307900012,0.0517,-0.0099,-0.057300001,0.0091,-1.388399959,-0.204999998,-0.239800006,0.0285,,0.0285
-0.382800013,-0.157499999,-1.676100016,-0.232199997,-0.827300012,0.0098,-0.075999998,-0.626299977,0.341800004,1.154899955,-0.382200003,0.119499996,,0.119499996
0.1215,-0.375800014,-0.089699998,0.611199975,0.064499997,0.0013,-0.079800002,-0.3046,0.055599999,1.21449995,-0.378100008,0.061299998,,0.061299998
0.043099999,-0.459399998,-2.877599955,0.404399991,0.168899998,-0.057700001,0.0131,-0.324499995,-0.217700005,0.827499986,-0.444599986,0.0372,,0.0372
0.103100002,-0.324999988,-1.104300022,0.351900011,0.100599997,-0.041099999,0.214300007,0.187199995,-0.253199995,-0.153600007,0.155900002,0.0052,,0.0052
0.213599995,-0.176599994,1.073400021,-0.125499994,0.715399981,-0.0004,-0.0515,0.378100008,-1.991799951,-0.562300026,0.087700002,0.027000001,,0.027000001
0.31220001,0.034899998,0.8028,-0.595200002,0.763899982,-0.0135,-0.030300001,0.466100007,-2.512900114,-1.00759995,0.190400004,0.051600002,,0.051600002
-0.363099992,-0.149900004,0.772899985,-0.257400006,-1.207000017,-0.0306,0.147699997,0.514199972,-2.983299971,-0.988900006,0.280800015,0.043099999,,0.043099999
-0.789200008,-0.362800002,-5.181600094,0.254000008,-2.224699974,-0.169300005,0.060899999,0.0502,0.217299998,-0.053199999,-0.028100001,0.0023,,0.0023
-0.927100003,-0.603699982,-6.25909996,0.409200013,-2.388200045,0.0011,-0.126900002,-0.104800001,-0.060600001,0.317200005,-0.367300004,-0.0196,,0.0196
-0.45629999,-0.488400012,-5.021800041,0.510299981,-1.278399944,-0.101899996,0.092500001,-0.211099997,0.020300001,0.477600008,-0.170100003,-0.0306,,0.0306
0.1382,-0.232199997,-3.50999999,0.375699997,0.122900002,-0.111000001,-0.2095,0.492300004,-5.462999821,-0.713800013,0.135800004,0.038800001,,0.038800001
0.209399998,-0.444200009,1.244899988,0.833999991,0.646799982,-0.086400002,-0.444900006,0.448599994,-5.284900188,-0.248600006,-0.152799994,-0.0095,,0.0095
0.262800008,-0.424199998,0.156900004,0.861299992,0.632300019,-0.118500002,-0.428600013,0.419200003,-5.294300079,-0.644900024,-0.509299994,0.033199999,,0.033199999
0.556100011,-0.340499997,1.018599987,0.261099994,1.588500023,-0.020199999,0.1417,1.039399981,-0.1127,-2.469899893,0.112300001,0.119499996,,0.119499996
0.118000001,-0.0085,1.122400045,-0.0174,0.0678,0.0031,-0.047699999,1.003999949,-0.28459999,-2.491300106,-0.0197,0.120899998,,0.120899998
-0.041999999,0.316599995,-2.142400026,-1.428799987,-0.585200012,0.106600001,0.083700001,0.96509999,-0.47420001,-2.588399887,0.110799998,0.1567,,0.1567
-0.0286,0.30219999,-2.487400055,-1.186400056,-0.394600004,-0.02,0.150600001,1.510499954,-2.961999893,-3.173099995,-0.787299991,0.192100003,,0.192100003
-0.141399994,0.0103,-3.183000088,-0.683499992,-0.511500001,0.0219,-0.369100004,1.183699965,-0.284999996,-2.642999887,-0.222299993,0.098200001,,0.098200001
-0.033199999,-0.094999999,-2.471600056,-0.136500001,-0.2236,0.144600004,-0.162300006,1.029700041,-0.47209999,-2.386300087,-0.30430001,0.085500002,,0.085500002
0.059,-0.287200004,0.442200005,0.105800003,0.0559,0.094400004,-0.224600002,0.685899973,-0.520200014,-2.36529994,-0.227899998,0.065399997,,0.065399997
0.048999999,-0.325500011,1.016299963,0.149399996,0.028999999,0.0163,-0.111299999,1.036900043,-0.454699993,-2.060800076,-0.190899998,0.051199999,,0.051199999
-0.057999998,-0.164199993,1.238399982,-0.126000002,-0.294099987,0.0012,0.123599999,1.089900017,-0.478199989,-2.30430007,-0.050799999,0.110399999,,0.110399999
