circle fx,circle fy,circle fz,circle tx,circle ty,circle tz,six fx,six fy,six fz,six tx,six ty,six tz,dual fx,dual fy,dual fz,dual tx,dual ty,dual tz
1.641076446,-0.241479859,-7.604133129,0.045763861,0.301515758,0.042492013,-0.464950562,-0.081308089,-1.43309021,0.026354769,-0.128028527,-0.001856951,-0.195008084,0.104123034,-0.079685904,-0.026312388,-0.049471252,0.000635661
0.202860534,-0.003712682,-0.549320817,0.010063247,0.065781116,0.001129255,-0.326755524,0.640323222,-0.945347726,-0.178066403,-0.07461191,0.0082954,-0.080456503,0.07428211,-0.058157369,-0.018841406,-0.021393487,-0.000781072
0.100567184,-0.010813967,-1.182732105,0.009793968,0.033294629,0.000415504,-0.015255028,0.002144219,0.000852219,-0.000257854,-0.003282955,5.53E-05,-1.04824388,0.107114859,-0.715617537,-0.029912515,-0.272122979,-0.005450775
-0.158728227,-0.073737323,-1.239213705,0.01305043,-0.025233652,-0.000332155,0.252528876,-0.3912808,-0.182830423,0.120968893,0.077793278,0.002772945,-0.240270361,-0.006995396,-0.793275952,-0.006478205,-0.055964965,-0.013503167
0.000392141,-0.0046172,-1.242743969,-0.00065026,0.005577943,-0.000478379,0.280410796,-0.668572664,-0.133639008,0.210132211,0.084880561,0.00294903,-0.198711574,-0.21386224,-2.40179038,0.031215757,-0.014772762,-0.031979036
0.183846354,-0.230827019,-1.454464793,0.070104338,0.063721888,0.002546809,-0.059256516,-0.346170276,-0.082993172,0.107712328,-0.020235755,0.002081331,0.026150908,0.034752425,-0.000657838,-0.00972864,0.006573085,-0.000417388
0.628632545,0.476044536,-3.748111725,-0.083433367,0.175725982,0.012679042,0.40616256,-0.360236615,-0.183305785,0.112439014,0.125831082,0.001170783,-0.914145112,-0.943117857,-0.659378946,0.237165019,-0.222564548,-0.011615509
0.550769329,0.055939037,-1.152876616,-0.019321593,0.163979799,0.002027019,-0.308805078,-0.574568033,-0.213186473,0.156835854,-0.083328463,0.005678638,-0.64550221,-0.641561985,-0.457475215,0.16236122,-0.163670108,0.000912336
1.019111991,1.117741704,-6.579985142,-0.190456048,0.237631798,0.021065023,-0.185812578,-0.117623627,-0.120647922,0.030653089,-0.050271776,0.001471383,-0.870097637,0.35039264,-0.352405548,-0.089174747,-0.220401496,0.001745505
1.232568502,0.382887274,-1.588685036,-0.113030069,0.351403058,0.009276673,-0.053851761,0.123765595,-1.222101212,-0.024655322,-0.005764158,0.001320633,0.135298818,-0.777045965,-2.779482365,0.151124746,0.057368275,-0.070342772
1.541149139,-0.705508649,-1.643786192,0.214116946,0.412148297,0.012573866,-0.064863324,-0.009401958,-1.23397398,0.000505122,-0.005500396,-0.000925072,-0.43275255,-0.946689188,-4.010212421,0.197643667,-0.076256089,-0.053238116
1.579992533,0.053801548,-3.724162817,0.069381699,0.424434185,0.007214653,0.010722849,0.051224157,-1.245090723,-0.013264736,0.010295434,0.001106044,-0.018072734,-0.004843239,-0.163798124,0.000868173,-0.005283044,-0.000411479
1.087074637,0.051116515,-1.362754703,-0.014194535,0.313340634,0.006558723,0.024181059,-0.022845931,-1.247745991,0.004535112,0.010788695,0.000818808,-0.014382173,-0.000632296,-0.168928877,0.004278812,-0.003596118,0.000145465
-0.045453671,0.035689902,-1.216851234,-0.008087788,-0.003034032,0.000908299,0.187410221,0.591366172,-1.52343905,-0.159026191,0.056236815,0.004958111,-0.301687747,0.74312377,-0.854836404,-0.188380212,-0.079753526,-0.009241785
0.067827374,-0.005121862,-1.265257835,-0.000219645,0.015997458,-0.001009237,-0.217797428,0.666750431,-2.443252802,-0.163380519,-0.060987893,0.000879978,-0.458997905,0.349330962,-0.282394499,-0.092603207,-0.127872616,-0.005831397
-0.068826452,-0.022440903,-0.5172804,0.005536305,-0.007571258,0.000795019,0.795268118,0.744090497,-3.455970764,-0.134211645,0.243272051,0.011880727,0.315069258,0.224816293,-0.163161531,-0.061417419,0.084050238,-0.002546882
-0.740788519,-0.508829951,-3.367939472,0.167030543,-0.166501313,-0.003066906,0.933411181,0.899935186,-2.890647411,-0.175504372,0.251215637,0.014293232,-0.605814695,0.052489676,-1.316255569,-0.030230496,-0.144568041,-0.01939825
-0.892921805,-0.216573611,-1.558367491,0.076505505,-0.266495049,0.008756514,0.073585108,0.120470963,-1.204375148,-0.023498055,0.022487637,0.001447651,-0.005686538,0.013596239,-0.15621984,-0.006783638,0.00152037,0.000768511
-0.001303361,-0.934399962,-1.116903067,0.289409727,0.011353093,0.000171893,0.004033393,-0.002325832,-1.211033702,-0.008073399,0.004081044,-0.001524582,0.017561739,-0.01077528,-0.150063843,0.004218901,0.010869996,-0.000605457
-1.349141121,-0.112771869,-8.853527069,0.082885623,-0.214400277,0.002330975,0.080621541,-0.070587479,-1.226770878,0.013182042,0.021709353,7.15E-05,-0.231182367,0.162982836,-0.35235706,-0.041402414,-0.054841075,0.001858818
-1.440240026,0.068061046,-1.934859991,-0.025513476,-0.413565487,0.008103724,0.044295713,-0.028213639,-1.255258322,0.008828362,0.014925473,0.001155608,-0.256135225,0.530024052,-0.748815954,-0.136108175,-0.052042928,0.00740717
-1.237414122,-0.15820393,-1.367729425,0.03713708,-0.334192753,0.003834581,-0.010286419,0.062020127,-1.19473362,-0.012310055,0.002959307,0.00131349,-0.002893376,0.000871739,-3.80E-05,-5.62E-05,-0.000707606,-5.99E-06
-1.789166093,-0.463947743,-5.30181694,0.099835671,-0.397116274,-0.007079328,-0.194052905,-0.098651931,-1.291748524,0.024302706,-0.040343668,-0.000561013,0.000253519,-0.001722824,0.000525272,0.000292722,-0.000306766,2.03E-05
