ep_r,ep_r GRU,ep_r PG,ep_r PG GRU,alpha,alpha GRU,alpha PG,alpha PG GRU,step,step GRU,step PG,step PG GRU
121.5940933,136.4208679,146.742691,137.8328552,0.083980322,0.213582158,0.110295296,0.28251341,33,12,16,9
-75.99795532,142.5878448,142.8096619,146.480423,0.082824118,0.210023314,0.108452827,0.278335571,45,13,12,9
138.9742279,140.7353363,133.8765717,144.9863434,0.082051054,0.208101854,0.107509263,0.276240289,25,13,15,10
-77.71635437,146.8890381,131.1619263,141.680481,0.080306143,0.206372708,0.106043987,0.274212241,37,12,19,10
121.4578476,143.7163086,-26.57251167,134.2203369,0.075846717,0.199794069,0.09825705,0.266681939,30,13,50,9
127.245636,137.5778656,-27.82023621,141.6625366,0.076228291,0.198098779,0.097616352,0.264575779,26,12,50,11
-30.01834297,133.5576324,139.002121,132.6031342,0.076247014,0.196631223,0.097338155,0.262187451,7,11,17,14
-34.91204453,143.4975433,-27.57347679,144.7606201,0.07641907,0.195184216,0.097098097,0.260632187,7,11,50,9
-34.78166199,138.996933,-22.16936684,139.700882,0.077424265,0.190903574,0.096970394,0.257406622,50,15,50,9
-43.21151733,140.5723724,-31.2096138,142.3438568,0.078653298,0.189476803,0.096822657,0.255764663,50,11,50,9
138.7960815,136.5325165,131.9271088,145.1222076,0.079139121,0.183117673,0.094015174,0.250695318,27,14,13,10
-35.32544708,133.3124084,143.497757,134.1186371,0.081211612,0.178815231,0.08950714,0.245845795,50,10,15,9
-23.89386559,136.2864227,-22.98455811,112.0047302,0.081819631,0.177838966,0.086630508,0.242580503,6,9,50,18
-24.38548851,140.2333069,142.0734863,142.604187,0.082847975,0.175258249,0.083668634,0.239032924,6,10,13,10
-24.43979073,137.7848663,132.375473,139.6912689,0.083854161,0.173247412,0.083960377,0.233423769,6,9,20,13
-23.98522377,142.1166077,145.3266602,134.5097198,0.083952449,0.172346324,0.084175363,0.231100291,7,9,14,13
-29.25425339,141.7440643,142.4047241,135.98909,0.083989643,0.171381891,0.083724134,0.229378879,6,10,16,10
101.0881348,140.6371765,142.2051086,145.1173706,0.084659733,0.170457646,0.084122643,0.227992326,41,9,18,9
118.6125107,140.0450134,133.5410004,143.8530579,0.085529573,0.169541463,0.08466813,0.225782439,25,9,16,13
-60.57394409,133.6348419,141.5858307,142.3575134,0.088443525,0.168668002,0.085107639,0.224013343,29,9,18,10
119.1868744,146.3670959,-16.93413544,137.5389557,0.093225643,0.166688591,0.083105214,0.220711261,25,10,50,10
109.7442093,139.6772919,139.0125732,143.6075897,0.09553013,0.1657217,0.082761377,0.218983337,28,9,16,11
-146.7222748,134.2504425,130.6719666,135.978241,0.097614162,0.164770722,0.082167581,0.217302099,49,9,17,10
-77.97325897,145.3961182,143.6277161,144.0970612,0.09746632,0.16389291,0.081968114,0.21546562,31,9,16,11
131.2475586,134.1013947,-13.7833252,136.3526764,0.097071491,0.162089556,0.079314061,0.212473527,18,9,50,9
122.2516632,137.0815582,141.135849,142.0115356,0.096438624,0.161220297,0.07854601,0.210669622,24,9,17,11
-126.2339859,130.2857056,128.0469818,132.5119019,0.095344998,0.159594208,0.077925496,0.209226683,47,16,24,9
-72.58927155,145.4230347,-23.16267014,140.1516418,0.089383759,0.157812819,0.081896059,0.205962211,50,9,50,11
-49.82172775,130.7931061,140.6886902,136.1522369,0.087909214,0.156198472,0.083343782,0.204092517,50,16,19,11
-39.38347244,140.9502411,145.2437592,131.935791,0.086002789,0.155192822,0.084706783,0.202140123,50,10,13,12
-42.20351028,137.4648132,-18.76392174,137.399231,0.07944601,0.153458223,0.090186566,0.198873848,50,9,50,9
-80.39386749,138.057724,-20.37842369,145.0980988,0.076638974,0.152528107,0.090084411,0.197133511,41,9,50,11
-47.67867661,139.3981628,-23.31831551,144.064621,0.072763368,0.150492936,0.087107889,0.194080934,50,10,50,10
-50.45705414,138.4689636,135.7097778,139.8310699,0.072060205,0.14956592,0.086420968,0.192898363,50,9,15,9
-33.15194321,133.9819489,-27.13827705,145.0843048,0.069659039,0.147686467,0.08422479,0.188388452,50,9,50,12
-20.52528,136.1764526,137.3842773,133.4803925,0.068325475,0.146711767,0.083428517,0.186997324,50,10,13,10
117.4414291,140.6547546,-24.76195526,133.6317749,0.068263404,0.145680591,0.081980877,0.185353413,47,10,50,12
121.8251266,141.0331726,-27.59051895,132.4468231,0.068676449,0.143793419,0.080804043,0.181538939,27,9,50,12
-25.42445755,131.7637177,144.3696442,135.966217,0.069643855,0.139362961,0.081646375,0.175891295,50,13,18,9
130.537384,134.2072754,-32.33721542,129.5131989,0.069385946,0.13847591,0.083712794,0.174375996,35,9,50,12
